Gender coding,Description,n,a,b,c,c',a*b,a*b CI low,a*b CI high,Prop. mediated (%),Conclusion
three_level,"Corrected: Female reference, separate Male and Other indicators",9795,0.0021207627164006038,-0.4816480270582195,-0.0016865564126794872,-0.0006650952344664222,-0.001021461178212981,-0.0011568708046669337,-0.0008830334763798338,60.564898424604266,PARTIAL MEDIATION
binary_male,"Original: Male = 1, Female and Other = 0",9795,0.002120762744231541,-0.48164805957490553,-0.0016865802636115074,-0.00066511900303359,-0.0010214612605778733,-0.0011568781670303983,-0.0008831369670615347,60.56404682399153,PARTIAL MEDIATION
